"value","count","cumsum","pct"
"funny",16157,18381925,39.23
"takes",16077,18398002,39.26
"worth",16050,18414052,39.3
"age",15983,18430035,39.33
"christmas",15980,18446015,39.36
"email",15940,18461955,39.4
"happened",15935,18477890,39.43
"star",15922,18493812,39.47
"wonderful",15907,18509719,39.5
"looked",15828,18525547,39.53
"send",15772,18541319,39.57
"cost",15768,18557087,39.6
"trip",15759,18572846,39.63
"worked",15729,18588575,39.67
"middle",15627,18604202,39.7
"waiting",15618,18619820,39.73
"definitely",15613,18635433,39.77
"club",15605,18651038,39.8
"page",15535,18666573,39.83
"control",15475,18682048,39.87
"huge",15445,18697493,39.9
"picture",15404,18712897,39.93
"giving",15362,18728259,39.97
"co",15345,18743604,40
"jobs",15322,18758926,40.03
"schools",15295,18774221,40.06
"chicago",15290,18789511,40.1
"shows",15282,18804793,40.13
"human",15208,18820001,40.16
"brown",15207,18835208,40.19
"conference",15186,18850394,40.23
"clear",15174,18865568,40.26
"war",15159,18880727,40.29
"energy",15154,18895881,40.32
"fan",15143,18911024,40.36
"questions",15132,18926156,40.39
"hold",15121,18941277,40.42
"wanna",15120,18956397,40.45
"nearly",15115,18971512,40.49
"blue",15102,18986614,40.52
"plans",15098,19001712,40.55
"ur",15045,19016757,40.58
"lots",15037,19031794,40.61
"washington",15002,19046796,40.65
"longer",14992,19061788,40.68
"political",14989,19076777,40.71
"ones",14910,19091687,40.74
"recent",14901,19106588,40.77
"education",14890,19121478,40.81
"cleveland",14873,19136351,40.84
"himself",14873,19151224,40.87
"create",14833,19166057,40.9
"recently",14828,19180885,40.93
"race",14772,19195657,40.96
"fine",14759,19210416,41
"finished",14681,19225097,41.03
"dog",14674,19239771,41.06
"likely",14669,19254440,41.09
"bar",14661,19269101,41.12
"door",14643,19283744,41.15
"jersey",14638,19298382,41.18
"services",14620,19313002,41.21
"band",14584,19327586,41.25
"weather",14579,19342165,41.28
"act",14495,19356660,41.31
"ball",14490,19371150,41.34
"goal",14456,19385606,41.37
"personal",14444,19400050,41.4
"continue",14435,19414485,41.43
"began",14421,19428906,41.46
"wine",14388,19443294,41.49
"seem",14340,19457634,41.52
"challenge",14304,19471938,41.55
"lunch",14295,19486233,41.58
"style",14167,19500400,41.61
"stand",14150,19514550,41.64
"coffee",14146,19528696,41.67
"issues",14134,19542830,41.7
"career",14116,19556946,41.73
"held",14059,19571005,41.76
"hands",14054,19585059,41.79
"player",14037,19599096,41.82
"sound",13947,19613043,41.85
"sent",13919,19626962,41.88
"cover",13915,19640877,41.91
"decision",13882,19654759,41.94
"return",13851,19668610,41.97
"met",13838,19682448,42
"sign",13825,19696273,42.03
"campaign",13824,19710097,42.06
"ways",13746,19723843,42.09
"simply",13730,19737573,42.12
"step",13726,19751299,42.15
"include",13710,19765009,42.18
"cold",13652,19778661,42.21
"luck",13630,19792291,42.24
"price",13618,19805909,42.27
"league",13616,19819525,42.3
"husband",13610,19833135,42.32
"earlier",13596,19846731,42.35
"east",13576,19860307,42.38
"la",13543,19873850,42.41
"action",13519,19887369,42.44
"vote",13494,19900863,42.47
"okay",13455,19914318,42.5
"join",13452,19927770,42.53
"usually",13448,19941218,42.55
"website",13446,19954664,42.58
"companies",13439,19968103,42.61
"boys",13431,19981534,42.64
"voice",13429,19994963,42.67
"david",13384,20008347,42.7
"answer",13380,20021727,42.73
"expected",13376,20035103,42.76
"forget",13370,20048473,42.78
"moving",13358,20061831,42.81
"knows",13352,20075183,42.84
"feet",13252,20088435,42.87
"wonder",13242,20101677,42.9
"research",13210,20114887,42.93
"piece",13196,20128083,42.95
"june",13192,20141275,42.98
"heat",13165,20154440,43.01
"problems",13157,20167597,43.04
"pass",13143,20180740,43.07
"mark",13122,20193862,43.09
"sales",13092,20206954,43.12
"beat",13090,20220044,43.15
"offer",13087,20233131,43.18
"success",13087,20246218,43.21
"design",13056,20259274,43.23
"budget",13054,20272328,43.26
"sun",13037,20285365,43.29
"daughter",13035,20298400,43.32
"oil",13029,20311429,43.34
"simple",13015,20324444,43.37
"seven",12970,20337414,43.4
"fast",12940,20350354,43.43
"california",12924,20363278,43.46
"brought",12909,20376187,43.48
"spend",12893,20389080,43.51
"wrote",12855,20401935,43.54
"save",12845,20414780,43.57
"alone",12830,20427610,43.59
"became",12809,20440419,43.62
"billion",12809,20453228,43.65
"football",12789,20466017,43.67
"attention",12769,20478786,43.7
"united",12734,20491520,43.73
"paul",12731,20504251,43.76
"current",12727,20516978,43.78
"seriously",12696,20529674,43.81
"sad",12649,20542323,43.84
"staff",12647,20554970,43.86
"drink",12644,20567614,43.89
"student",12640,20580254,43.92
"non",12524,20592778,43.95
"training",12482,20605260,43.97
"date",12459,20617719,44
"louis",12440,20630159,44.03
"received",12437,20642596,44.05
"brother",12427,20655023,44.08
"dark",12418,20667441,44.1
"exactly",12413,20679854,44.13
"key",12410,20692264,44.16
"james",12387,20704651,44.18
"gotta",12371,20717022,44.21
"missed",12371,20729393,44.24
"plus",12253,20741646,44.26
"events",12240,20753886,44.29
"fresh",12212,20766098,44.32
"led",12208,20778306,44.34
"afternoon",12185,20790491,44.37
"entire",12159,20802650,44.39
"paid",12156,20814806,44.42
"main",12139,20826945,44.44
"dream",12130,20839075,44.47
"example",12121,20851196,44.5
"stories",12119,20863315,44.52
"term",12109,20875424,44.55
"form",12082,20887506,44.57
