"","value","count","cumsum","pct"
"287","less",12283,23179422,70.48
"288","yes",12270,23191692,70.52
"289","against",12210,23203902,70.56
"290","money",12153,23216055,70.6
"291","th",12045,23228100,70.63
"292","morning",12033,23240133,70.67
"293","change",11819,23251952,70.7
"294","decided",11771,23263723,70.74
"295","city",11599,23275322,70.78
"296","couple",11502,23286824,70.81
"297","comes",11474,23298298,70.85
"298","become",11399,23309697,70.88
"299","rather",11335,23321032,70.91
"300","state",11246,23332278,70.95
"301","seen",11233,23343511,70.98
"302","reading",11199,23354710,71.02
"303","run",11196,23365906,71.05
"304","else",11122,23377028,71.08
"305","felt",11067,23388095,71.12
"306","play",11040,23399135,71.15
"307","won",11030,23410165,71.19
"308","case",10981,23421146,71.22
"309","light",10966,23432112,71.25
"310","face",10928,23443040,71.29
"311","nice",10924,23453964,71.32
"312","call",10894,23464858,71.35
"313","half",10877,23475735,71.39
"314","music",10875,23486610,71.42
"315","mother",10857,23497467,71.45
"316","oh",10786,23508253,71.48
"317","sometimes",10760,23519013,71.52
"318","finally",10667,23529680,71.55
"319","beer",10606,23540286,71.58
"320","job",10536,23550822,71.61
"321","card",10533,23561355,71.65
"322","write",10485,23571840,71.68
"323","instead",10406,23582246,71.71
"324","young",10401,23592647,71.74
"325","important",10283,23602930,71.77
"326","please",10250,23613180,71.8
"327","word",10220,23623400,71.83
"328","given",10174,23633574,71.87
"329","month",10171,23643745,71.9
"330","share",10139,23653884,71.93
"331","knew",10122,23664006,71.96
"332","stop",10086,23674092,71.99
"333","open",10083,23684175,72.02
"334","leave",10056,23694231,72.05
"335","beautiful",10052,23704283,72.08
"336","child",10017,23714300,72.11
"337","mean",10014,23724314,72.14
"338","coming",9984,23734298,72.17
"339","saw",9970,23744268,72.2
"340","group",9950,23754218,72.23
"341","paper",9928,23764146,72.26
"342","taking",9927,23774073,72.29
"343","cut",9924,23783997,72.32
"344","girl",9912,23793909,72.35
"345","easy",9897,23803806,72.38
"346","thinking",9893,23813699,72.41
"347","anyone",9884,23823583,72.44
"348","body",9841,23833424,72.47
"349","several",9841,23843265,72.5
"350","experience",9831,23853096,72.53
"351","film",9771,23862867,72.56
"352","line",9715,23872582,72.59
"353","men",9690,23882272,72.62
"354","soon",9669,23891941,72.65
"355","order",9651,23901592,72.68
"356","country",9618,23911210,72.71
"357","care",9556,23920766,72.74
"358","true",9510,23930276,72.77
"359","either",9507,23939783,72.8
"360","power",9507,23949290,72.83
"361","number",9473,23958763,72.85
"362","game",9389,23968152,72.88
"363","favorite",9367,23977519,72.91
"364","baby",9307,23986826,72.94
"365","living",9290,23996116,72.97
"366","party",9286,24005402,73
"367","business",9273,24014675,73.02
"368","although",9267,24023942,73.05
"369","four",9259,24033201,73.08
"370","reason",9207,24042408,73.11
"371","woman",9162,24051570,73.14
"372","stuff",9146,24060716,73.16
"373","public",9141,24069857,73.19
"374","government",9131,24078988,73.22
"375","early",9111,24088099,73.25
"376","perfect",9103,24097202,73.27
"377","list",9084,24106286,73.3
"378","large",9053,24115339,73.33
"379","self",9042,24124381,73.36
"380","moment",9030,24133411,73.38
"381","especially",9020,24142431,73.41
"382","short",9009,24151440,73.44
"383","turn",8929,24160369,73.47
"384","red",8904,24169273,73.49
"385","movie",8894,24178167,73.52
"386","talk",8894,24187061,73.55
"387","above",8856,24195917,73.58
"388","ask",8833,24204750,73.6
"389","feeling",8783,24213533,73.63
"390","within",8681,24222214,73.65
"391","weekend",8679,24230893,73.68
"392","rest",8632,24239525,73.71
"393","local",8631,24248156,73.73
"394","challenge",8607,24256763,73.76
"395","behind",8583,24265346,73.79
"396","car",8493,24273839,73.81
"397","matter",8468,24282307,73.84
"398","art",8425,24290732,73.86
"399","enjoy",8406,24299138,73.89
"400","team",8406,24307544,73.91
"401","taken",8378,24315922,73.94
"402","front",8375,24324297,73.97
"403","across",8343,24332640,73.99
"404","class",8284,24340924,74.02
"405","check",8272,24349196,74.04
"406","sense",8253,24357449,74.07
"407","lost",8228,24365677,74.09
"408","simply",8203,24373880,74.12
"409","close",8177,24382057,74.14
"410","bring",8152,24390209,74.17
"411","wrong",8140,24398349,74.19
"412","picture",8099,24406448,74.22
"413","problem",8070,24414518,74.24
"414","hear",8058,24422576,74.26
"415","wonderful",8053,24430629,74.29
"416","goes",8009,24438638,74.31
"417","perhaps",7984,24446622,74.34
"418","human",7978,24454600,74.36
"419","thank",7957,24462557,74.39
"420","news",7920,24470477,74.41
"421","known",7911,24478388,74.43
"422","project",7910,24486298,74.46
"423","gave",7908,24494206,74.48
"424","outside",7907,24502113,74.51
"425","wait",7901,24510014,74.53
"426","father",7892,24517906,74.55
"427","series",7871,24525777,74.58
"428","ready",7852,24533629,74.6
"429","whether",7848,24541477,74.63
"430","question",7836,24549313,74.65
"431","five",7821,24557134,74.67
"432","special",7821,24564955,74.7
"433","turned",7821,24572776,74.72
"434","understand",7801,24580577,74.74
"435","information",7784,24588361,74.77
