"value","count","cumsum","pct"
"love like love",66,48204,8.75
"novel gray rainbow",66,48270,8.77
"put smile face",66,48336,8.78
"thanks follow guys",66,48402,8.79
"time offer contact",66,48468,8.8
"winning novel gray",66,48534,8.81
"blog www com",65,48599,8.83
"calories doing minutes",65,48664,8.84
"feel like gonna",65,48729,8.85
"hope don get",65,48794,8.86
"journey limited time",65,48859,8.87
"let know love",65,48924,8.88
"like good time",65,48989,8.9
"like like like",65,49054,8.91
"looks like might",65,49119,8.92
"rainbow journey limited",65,49184,8.93
"run pace mi",65,49249,8.94
"seen long time",65,49314,8.96
"thank looking forward",65,49379,8.97
"week stay tuned",65,49444,8.98
"doing good job",64,49508,8.99
"follow new page",64,49572,9
"happy birthday today",64,49636,9.01
"help let know",64,49700,9.03
"just bought new",64,49764,9.04
"stop acting like",64,49828,9.05
"take deep breath",64,49892,9.06
"thanks glad enjoyed",64,49956,9.07
"today going good",64,50020,9.08
"wait go home",64,50084,9.09
"amazing last night",63,50147,9.11
"getting better better",63,50210,9.12
"go hand hand",63,50273,9.13
"good luck finals",63,50336,9.14
"good morning everybody",63,50399,9.15
"happy founders day",63,50462,9.16
"light end tunnel",63,50525,9.18
"looking forward day",63,50588,9.19
"new server ready",63,50651,9.2
"teacher appreciation week",63,50714,9.21
"th tweet goes",63,50777,9.22
"want want want",63,50840,9.23
"wow just wow",63,50903,9.24
"goes long way",62,50965,9.25
"good morning today",62,51027,9.27
"happy fathers day",62,51089,9.28
"happy th anniversary",62,51151,9.29
"just got tickets",62,51213,9.3
"welcome looking forward",62,51275,9.31
"work hard play",62,51337,9.32
"year ago today",62,51399,9.33
"buffalo wild wings",61,51460,9.34
"follow make day",61,51521,9.36
"getting tweet make",61,51582,9.37
"good things happen",61,51643,9.38
"happy memorial day",61,51704,9.39
"late last night",61,51765,9.4
"let go heat",61,51826,9.41
"looking forward year",61,51887,9.42
"make day better",61,51948,9.43
"night taught dreams",61,52009,9.44
"putting finishing touches",61,52070,9.46
"sorry took long",61,52131,9.47
"start new year",61,52192,9.48
"thanks follow like",61,52253,9.49
"thanks following look",61,52314,9.5
"time last year",61,52375,9.51
"use coupon code",61,52436,9.52
"week looking forward",61,52497,9.53
"account got hacked",60,52557,9.54
"best thing happened",60,52617,9.55
"better wine guide",60,52677,9.57
"don tell anyone",60,52737,9.58
"following twitter don",60,52797,9.59
"happy monday hope",60,52857,9.6
"just started following",60,52917,9.61
"let go get",60,52977,9.62
"like old times",60,53037,9.63
"looking forward week",60,53097,9.64
"looks like need",60,53157,9.65
"love hate relationship",60,53217,9.66
"make sure go",60,53277,9.67
"mom mother day",60,53337,9.69
"thanks good luck",60,53397,9.7
"thought let know",60,53457,9.71
"doing right thing",59,53516,9.72
"famous comic strip",59,53575,9.73
"free www com",59,53634,9.74
"hey long time",59,53693,9.75
"looking forward going",59,53752,9.76
"san francisco chronicle",59,53811,9.77
"wanted say hi",59,53870,9.78
"wishes come true",59,53929,9.79
"account support follow",58,53987,9.8
"check new website",58,54045,9.81
"cool let know",58,54103,9.82
"did last year",58,54161,9.84
"don forget stop",58,54219,9.85
"good luck getting",58,54277,9.86
"good luck new",58,54335,9.87
"just got better",58,54393,9.88
"like don care",58,54451,9.89
"like good day",58,54509,9.9
"looking forward sharing",58,54567,9.91
"new day new",58,54625,9.92
"people need stop",58,54683,9.93
"big things coming",57,54740,9.94
"come check new",57,54797,9.95
"concert last night",57,54854,9.96
"couple days ago",57,54911,9.97
"excellence act habit",57,54968,9.98
"feel like got",57,55025,9.99
"good way start",57,55082,10
"happy st birthday",57,55139,10.01
"just wait till",57,55196,10.02
"taught dreams guys",57,55253,10.03
"wish best luck",57,55310,10.04
"www com click",57,55367,10.05
"concert meet greet",56,55423,10.06
"don know got",56,55479,10.07
"email address send",56,55535,10.08
"following better wine",56,55591,10.09
"get ice cream",56,55647,10.11
"go spurs go",56,55703,10.12
"great meeting last",56,55759,10.13
"having great week",56,55815,10.14
"hope good weekend",56,55871,10.15
"keeping fingers crossed",56,55927,10.16
"matter don mind",56,55983,10.17
"need go bed",56,56039,10.18
"strip live nyc",56,56095,10.19
"thanks following better",56,56151,10.2
"went high school",56,56207,10.21
"actions speak louder",55,56262,10.22
"check let know",55,56317,10.23
"come visit soon",55,56372,10.24
"just got twitter",55,56427,10.25
"keep fingers crossed",55,56482,10.26
"meet last night",55,56537,10.27
"thanks follow keep",55,56592,10.28
"wait hear new",55,56647,10.29
"way start week",55,56702,10.3
"awesome looking forward",54,56756,10.31
"blast last night",54,56810,10.32
"chance win tickets",54,56864,10.33
"day like today",54,56918,10.34
"don think seen",54,56972,10.35
"done done done",54,57026,10.36
"free comic book",54,57080,10.37
"happy birthday amazing",54,57134,10.38
"let go rangers",54,57188,10.38
"like great day",54,57242,10.39
"makes want go",54,57296,10.4
"new twitter account",54,57350,10.41
"thank means lot",54,57404,10.42
"thanks means lot",54,57458,10.43
"today literary history",54,57512,10.44
"tomorrow looking forward",54,57566,10.45
"dc concert meet",53,57619,10.46
"does make sense",53,57672,10.47
"feel like watching",53,57725,10.48
"good morning just",53,57778,10.49
"great new year",53,57831,10.5
"happy birthday girl",53,57884,10.51
"happy birthday thanks",53,57937,10.52
"job last night",53,57990,10.53
"let know make",53,58043,10.54
"looking forward playing",53,58096,10.55
"march th pm",53,58149,10.56
"occupy wall street",53,58202,10.57
"sale www com",53,58255,10.58
"speak louder words",53,58308,10.59
"thank great day",53,58361,10.6
"thanks follow good",53,58414,10.61
"today good luck",53,58467,10.62
"washington dc concert",53,58520,10.63
"welcome thanks following",53,58573,10.64
"best part day",52,58625,10.65
"day high school",52,58677,10.66
"don know make",52,58729,10.66
"don make sense",52,58781,10.67
"don want leave",52,58833,10.68
"feel like haven",52,58885,10.69
"get job done",52,58937,10.7
"get nails done",52,58989,10.71
"good morning thanks",52,59041,10.72
"just gonna go",52,59093,10.73
"keep mouth shut",52,59145,10.74
"keep spreading word",52,59197,10.75
"mom mothers day",52,59249,10.76
"morning happy monday",52,59301,10.77
"new year hope",52,59353,10.78
"read hunger games",52,59405,10.79
"thanks man appreciate",52,59457,10.8
"today happy birthday",52,59509,10.81
"want ice cream",52,59561,10.82
"young wild free",52,59613,10.83
"awesome let know",51,59664,10.83
"finally got twitter",51,59715,10.84
"find let know",51,59766,10.85
"find way get",51,59817,10.86
"follow chance win",51,59868,10.87
