"","value","count","cumsum","pct"
"284","of his",21,14253,19.55
"285","of their",21,14274,19.57
"286","on and",21,14295,19.6
"287","she is",21,14316,19.63
"288","so that",21,14337,19.66
"289","t be",21,14358,19.69
"290","the for",21,14379,19.72
"291","they can",21,14400,19.75
"292","to read",21,14421,19.78
"293","you don",21,14442,19.8
"294","a day",20,14462,19.83
"295","after the",20,14482,19.86
"296","and is",20,14502,19.89
"297","for this",20,14522,19.91
"298","i also",20,14542,19.94
"299","i get",20,14562,19.97
"300","if they",20,14582,20
"301","is what",20,14602,20.02
"302","kind of",20,14622,20.05
"303","let s",20,14642,20.08
"304","like the",20,14662,20.11
"305","look at",20,14682,20.13
"306","many of",20,14702,20.16
"307","my life",20,14722,20.19
"308","now i",20,14742,20.22
"309","of in",20,14762,20.24
"310","see the",20,14782,20.27
"311","t want",20,14802,20.3
"312","the rest",20,14822,20.33
"313","then i",20,14842,20.35
"314","this time",20,14862,20.38
"315","this was",20,14882,20.41
"316","was in",20,14902,20.44
"317","went to",20,14922,20.46
"318","what the",20,14942,20.49
"319","with me",20,14962,20.52
"320","year old",20,14982,20.54
"321","and if",19,15001,20.57
"322","and with",19,15020,20.6
"323","are the",19,15039,20.62
"324","day i",19,15058,20.65
"325","here s",19,15077,20.68
"326","i decided",19,15096,20.7
"327","i went",19,15115,20.73
"328","if the",19,15134,20.75
"329","it will",19,15153,20.78
"330","of i",19,15172,20.81
"331","that a",19,15191,20.83
"332","the book",19,15210,20.86
"333","the one",19,15229,20.88
"334","the s",19,15248,20.91
"335","the that",19,15267,20.94
"336","to your",19,15286,20.96
"337","too much",19,15305,20.99
"338","up with",19,15324,21.01
"339","we had",19,15343,21.04
"340","what is",19,15362,21.07
"341","which i",19,15381,21.09
"342","while i",19,15400,21.12
"343","according to",18,15418,21.14
"344","and what",18,15436,21.17
"345","are not",18,15454,21.19
"346","as much",18,15472,21.22
"347","couple of",18,15490,21.24
"348","do it",18,15508,21.27
"349","do you",18,15526,21.29
"350","even if",18,15544,21.32
"351","for and",18,15562,21.34
"352","for my",18,15580,21.37
"353","get to",18,15598,21.39
"354","i still",18,15616,21.41
"355","is it",18,15634,21.44
"356","lots of",18,15652,21.46
"357","make the",18,15670,21.49
"358","my first",18,15688,21.51
"359","new york",18,15706,21.54
"360","of us",18,15724,21.56
"361","off the",18,15742,21.59
"362","on it",18,15760,21.61
"363","on this",18,15778,21.64
"364","or the",18,15796,21.66
"365","so we",18,15814,21.69
"366","t really",18,15832,21.71
"367","the country",18,15850,21.74
"368","the were",18,15868,21.76
"369","this one",18,15886,21.78
"370","time and",18,15904,21.81
"371","to this",18,15922,21.83
"372","to you",18,15940,21.86
"373","was not",18,15958,21.88
"374","and she",17,15975,21.91
"375","and there",17,15992,21.93
"376","come to",17,16009,21.95
"377","could be",17,16026,21.98
"378","get a",17,16043,22
"379","had been",17,16060,22.02
"380","he is",17,16077,22.05
"381","i never",17,16094,22.07
"382","i said",17,16111,22.09
"383","in her",17,16128,22.12
"384","in their",17,16145,22.14
"385","like i",17,16162,22.16
"386","like this",17,16179,22.19
"387","me that",17,16196,22.21
"388","my heart",17,16213,22.23
"389","of an",17,16230,22.26
"390","of me",17,16247,22.28
"391","of these",17,16264,22.3
"392","of what",17,16281,22.33
"393","t get",17,16298,22.35
"394","take a",17,16315,22.37
"395","thank you",17,16332,22.4
"396","that there",17,16349,22.42
"397","that to",17,16366,22.44
"398","the city",17,16383,22.47
"399","the company",17,16400,22.49
"400","the house",17,16417,22.51
"401","the whole",17,16434,22.54
"402","there were",17,16451,22.56
"403","to her",17,16468,22.58
"404","tried to",17,16485,22.61
"405","u s",17,16502,22.63
"406","us to",17,16519,22.65
"407","we will",17,16536,22.68
"408","well as",17,16553,22.7
"409","who are",17,16570,22.72
"410","a long",16,16586,22.74
"411","a more",16,16602,22.77
"412","about a",16,16618,22.79
"413","all that",16,16634,22.81
"414","along with",16,16650,22.83
"415","and have",16,16666,22.85
"416","and her",16,16682,22.88
"417","as you",16,16698,22.9
"418","based on",16,16714,22.92
"419","been a",16,16730,22.94
"420","bit of",16,16746,22.96
"421","feel like",16,16762,22.99
"422","for it",16,16778,23.01
"423","front of",16,16794,23.03
"424","had the",16,16810,23.05
"425","he said",16,16826,23.07
"426","i like",16,16842,23.1
"427","i need",16,16858,23.12
"428","i say",16,16874,23.14
"429","is just",16,16890,23.16
"430","is one",16,16906,23.18
"431","is so",16,16922,23.21
"432","it all",16,16938,23.23
"433","like it",16,16954,23.25
"434","my own",16,16970,23.27
"435","not only",16,16986,23.29
"436","so many",16,17002,23.32
"437","sort of",16,17018,23.34
"438","the is",16,17034,23.36
"439","the man",16,17050,23.38
"440","the on",16,17066,23.4
"441","this week",16,17082,23.42
"442","to give",16,17098,23.45
"443","to help",16,17114,23.47
"444","was to",16,17130,23.49
"445","well i",16,17146,23.51
"446","while the",16,17162,23.53
"447","with and",16,17178,23.56
"448","with some",16,17194,23.58
"449","you and",16,17210,23.6
"450","you will",16,17226,23.62
"451","you would",16,17242,23.64
"452","and for",15,17257,23.66
"453","down the",15,17272,23.69
"454","during the",15,17287,23.71
"455","each other",15,17302,23.73
"456","get the",15,17317,23.75
"457","going on",15,17332,23.77
"458","got a",15,17347,23.79
"459","he to",15,17362,23.81
"460","how i",15,17377,23.83
"461","i always",15,17392,23.85
"462","i guess",15,17407,23.87
"463","i hope",15,17422,23.89
"464","i saw",15,17437,23.91
"465","in your",15,17452,23.93
"466","is an",15,17467,23.95
"467","last week",15,17482,23.97
"468","like that",15,17497,23.99
"469","not the",15,17512,24.01
"470","of s",15,17527,24.03
"471","or a",15,17542,24.06
"472","people who",15,17557,24.08
"473","right now",15,17572,24.1
"474","tell you",15,17587,24.12
"475","that this",15,17602,24.14
"476","the door",15,17617,24.16
"477","the more",15,17632,24.18
"478","their and",15,17647,24.2
"479","them to",15,17662,24.22
"480","think it",15,17677,24.24
"481","this morning",15,17692,24.26
"482","those of",15,17707,24.28
"483","to our",15,17722,24.3
"484","to tell",15,17737,24.32
"485","to that",15,17752,24.34
"486","what you",15,17767,24.36
"487","when he",15,17782,24.38
"488","why i",15,17797,24.41
"489","will have",15,17812,24.43
"490","with her",15,17827,24.45
"491","with his",15,17842,24.47
"492","with this",15,17857,24.49
"493","you to",15,17872,24.51
"494","you want",15,17887,24.53
"495","a huge",14,17901,24.55
"496","a small",14,17915,24.57
"497","a week",14,17929,24.59
"498","about this",14,17943,24.61
"499","all over",14,17957,24.62
"500","also a",14,17971,24.64
"501","and even",14,17985,24.66
"502","and s",14,17999,24.68
"503","and this",14,18013,24.7
"504","as if",14,18027,24.72
"505","before i",14,18041,24.74
"506","but that",14,18055,24.76
"507","do this",14,18069,24.78
"508","due to",14,18083,24.8
"509","for your",14,18097,24.82
"510","got to",14,18111,24.84
"511","he had",14,18125,24.85
"512","i find",14,18139,24.87
"513","i knew",14,18153,24.89
"514","is and",14,18167,24.91
"515","it for",14,18181,24.93
"516","know what",14,18195,24.95
"517","made a",14,18209,24.97
"518","me a",14,18223,24.99
"519","might be",14,18237,25.01
"520","not be",14,18251,25.03
"521","now and",14,18265,25.05
"522","number of",14,18279,25.07
"523","quite a",14,18293,25.09
"524","s been",14,18307,25.1
"525","t like",14,18321,25.12
"526","the th",14,18335,25.14
"527","them and",14,18349,25.16
"528","think i",14,18363,25.18
"529","to come",14,18377,25.2
"530","to i",14,18391,25.22
"531","to start",14,18405,25.24
"532","to their",14,18419,25.26
"533","used to",14,18433,25.28
"534","we do",14,18447,25.3
"535","we don",14,18461,25.32
"536","you do",14,18475,25.33
"537","a big",13,18488,25.35
"538","a man",13,18501,25.37
"539","a part",13,18514,25.39
"540","a way",13,18527,25.41
"541","all i",13,18540,25.42
"542","and are",13,18553,25.44
"543","and had",13,18566,25.46
"544","and not",13,18579,25.48
"545","and on",13,18592,25.5
"546","and was",13,18605,25.51
"547","at all",13,18618,25.53
"548","be in",13,18631,25.55
"549","believe that",13,18644,25.57
"550","but they",13,18657,25.58
"551","but you",13,18670,25.6
"552","find a",13,18683,25.62
"553","have you",13,18696,25.64
"554","here is",13,18709,25.66
"555","high school",13,18722,25.67
"556","how the",13,18735,25.69
"557","i be",13,18748,25.71
"558","i found",13,18761,25.73
"559","in all",13,18774,25.74
"560","in of",13,18787,25.76
"561","in order",13,18800,25.78
"562","it it",13,18813,25.8
"563","it like",13,18826,25.82
"564","know i",13,18839,25.83
"565","know the",13,18852,25.85
"566","make sure",13,18865,25.87
"567","me the",13,18878,25.89
"568","more of",13,18891,25.91
"569","must be",13,18904,25.92
"570","my i",13,18917,25.94
"571","no one",13,18930,25.96
"572","not just",13,18943,25.98
"573","of is",13,18956,25.99
"574","of those",13,18969,26.01
"575","on your",13,18982,26.03
"576","other people",13,18995,26.05
"577","t even",13,19008,26.07
"578","t think",13,19021,26.08
"579","that my",13,19034,26.1
"580","that will",13,19047,26.12
"581","the at",13,19060,26.14
"582","the back",13,19073,26.15
"583","the film",13,19086,26.17
"584","the government",13,19099,26.19
"585","the ground",13,19112,26.21
"586","the lord",13,19125,26.23
"587","the people",13,19138,26.24
"588","the second",13,19151,26.26
"589","the story",13,19164,26.28
"590","the very",13,19177,26.3
"591","the we",13,19190,26.32
"592","this book",13,19203,26.33
"593","to him",13,19216,26.35
"594","to it",13,19229,26.37
"595","to look",13,19242,26.39
"596","to share",13,19255,26.4
"597","to show",13,19268,26.42
"598","today i",13,19281,26.44
"599","under the",13,19294,26.46
"600","up a",13,19307,26.48
"601","up on",13,19320,26.49
"602","we all",13,19333,26.51
"603","we got",13,19346,26.53
"604","what he",13,19359,26.55
"605","where the",13,19372,26.57
"606","with an",13,19385,26.58
"607","you i",13,19398,26.6
"608","a full",12,19410,26.62
"609","am not",12,19422,26.63
"610","and its",12,19434,26.65
"611","and more",12,19446,26.67
"612","and some",12,19458,26.68
"613","and were",12,19470,26.7
"614","and when",12,19482,26.72
"615","are going",12,19494,26.73
"616","are you",12,19506,26.75
"617","as he",12,19518,26.77
"618","as they",12,19530,26.78
"619","be able",12,19542,26.8
"620","be by",12,19554,26.81
"621","being a",12,19566,26.83
"622","by and",12,19578,26.85
"623","does not",12,19590,26.86
"624","every day",12,19602,26.88
"625","few of",12,19614,26.9
"626","for all",12,19626,26.91
"627","for her",12,19638,26.93
"628","for i",12,19650,26.95
"629","for some",12,19662,26.96
"630","from and",12,19674,26.98
"631","from my",12,19686,27
"632","he t",12,19698,27.01
"633","i a",12,19710,27.03
"634","i haven",12,19722,27.04
"635","in that",12,19734,27.06
"636","in to",12,19746,27.08
"637","in with",12,19758,27.09
"638","instead of",12,19770,27.11
"639","is no",12,19782,27.13
"640","is now",12,19794,27.14
"641","is still",12,19806,27.16
"642","it can",12,19818,27.18
"643","m a",12,19830,27.19
"644","much as",12,19842,27.21
"645","no longer",12,19854,27.23
"646","of life",12,19866,27.24
"647","or so",12,19878,27.26
"648","out and",12,19890,27.28
"649","out to",12,19902,27.29
"650","over to",12,19914,27.31
"651","rest of",12,19926,27.32
"652","s just",12,19938,27.34
"653","s what",12,19950,27.36
"654","since i",12,19962,27.37
"655","so it",12,19974,27.39
"656","something that",12,19986,27.41
"657","such as",12,19998,27.42
"658","than a",12,20010,27.44
"659","that and",12,20022,27.46
"660","that are",12,20034,27.47
"661","that t",12,20046,27.49
"662","that would",12,20058,27.51
"663","the but",12,20070,27.52
"664","the family",12,20082,27.54
"665","the kitchen",12,20094,27.56
"666","the name",12,20106,27.57
"667","the year",12,20118,27.59
"668","their own",12,20130,27.6
"669","them i",12,20142,27.62
"670","think about",12,20154,27.64
"671","to an",12,20166,27.65
"672","to live",12,20178,27.67
"673","to play",12,20190,27.69
"674","up i",12,20202,27.7
"675","was going",12,20214,27.72
"676","was so",12,20226,27.74
"677","we would",12,20238,27.75
"678","what s",12,20250,27.77
"679","when it",12,20262,27.79
"680","who is",12,20274,27.8
"681","with you",12,20286,27.82
"682","won t",12,20298,27.83
"683","work and",12,20310,27.85
"684","you were",12,20322,27.87
"685","a nice",11,20333,27.88
"686","a place",11,20344,27.9
"687","a time",11,20355,27.91
"688","a while",11,20366,27.93
"689","ability to",11,20377,27.94
"690","about how",11,20388,27.96
"691","about what",11,20399,27.97
"692","after all",11,20410,27.99
"693","against the",11,20421,28
"694","and get",11,20432,28.02
"695","and one",11,20443,28.03
"696","and other",11,20454,28.05
"697","and our",11,20465,28.06
"698","and t",11,20476,28.08
"699","and your",11,20487,28.09
"700","any of",11,20498,28.11
"701","are in",11,20509,28.12
"702","at home",11,20520,28.14
"703","at this",11,20531,28.15
"704","away from",11,20542,28.17
"705","back and",11,20553,28.18
"706","between the",11,20564,28.2
"707","but not",11,20575,28.21
"708","did i",11,20586,28.23
"709","fact that",11,20597,28.24
"710","food and",11,20608,28.26
"711","for about",11,20619,28.28
"712","get it",11,20630,28.29
"713","have an",11,20641,28.31
"714","have it",11,20652,28.32
"715","he the",11,20663,28.34
"716","her and",11,20674,28.35
"717","his own",11,20685,28.37
"718","how many",11,20696,28.38
"719","how much",11,20707,28.4
"720","i mean",11,20718,28.41
"721","i my",11,20729,28.43
"722","i put",11,20740,28.44
"723","i tried",11,20751,28.46
"724","if we",11,20762,28.47
"725","in fact",11,20773,28.49
"726","in front",11,20784,28.5
"727","in in",11,20795,28.52
"728","in one",11,20806,28.53
"729","in which",11,20817,28.55
"730","into a",11,20828,28.56
"731","is going",11,20839,28.58
"732","is i",11,20850,28.59
"733","just the",11,20861,28.61
"734","last night",11,20872,28.62
"735","m going",11,20883,28.64
"736","make a",11,20894,28.65
"737","may not",11,20905,28.67
"738","needs to",11,20916,28.68
"739","not have",11,20927,28.7
"740","not sure",11,20938,28.71
"741","now the",11,20949,28.73
"742","on that",11,20960,28.74
"743","on their",11,20971,28.76
"744","on top",11,20982,28.77
"745","opportunity to",11,20993,28.79
"746","or two",11,21004,28.8
"747","order to",11,21015,28.82
"748","s day",11,21026,28.83
"749","said the",11,21037,28.85
"750","she t",11,21048,28.86
"751","talking about",11,21059,28.88
"752","than the",11,21070,28.89
"753","that she",11,21081,28.91
"754","the fact",11,21092,28.92
"755","the left",11,21103,28.94
"756","the night",11,21114,28.95
"757","the team",11,21125,28.97
"758","the top",11,21136,28.98
"759","think that",11,21147,29
"760","time in",11,21158,29.01
"761","to create",11,21169,29.03
"762","to put",11,21180,29.04
"763","to think",11,21191,29.06
"764","to try",11,21202,29.07
"765","took the",11,21213,29.09
"766","up for",11,21224,29.1
"767","way of",11,21235,29.12
"768","we know",11,21246,29.13
"769","what they",11,21257,29.15
"770","what we",11,21268,29.17
"771","where i",11,21279,29.18
"772","with it",11,21290,29.2
"773","with no",11,21301,29.21
"774","would like",11,21312,29.23
"775","you see",11,21323,29.24
"776","a real",10,21333,29.25
"777","after a",10,21343,29.27
"778","again i",10,21353,29.28
"779","all in",10,21363,29.3
"780","and all",10,21373,29.31
"781","and will",10,21383,29.32
"782","are to",10,21393,29.34
"783","as an",10,21403,29.35
"784","at my",10,21413,29.36
"785","before the",10,21423,29.38
"786","but he",10,21433,29.39
"787","close to",10,21443,29.4
"788","day and",10,21453,29.42
"789","even more",10,21463,29.43
"790","every time",10,21473,29.45
"791","feel the",10,21483,29.46
"792","first time",10,21493,29.47
"793","for us",10,21503,29.49
"794","forward to",10,21513,29.5
"795","get my",10,21523,29.51
"796","go to",10,21533,29.53
"797","good and",10,21543,29.54
